,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ
111, Allegion PLC ,14,0.0,0.0,na,na
112, Allergan PLC ,56,0.0,0.0,na,na
113, Alliance Data Systems Corp ,30,0.0,0.0,na,na
114, Alliant Energy Corp ,20,0.0,0.0,na,na
115, Allianz SE ,88,0.0,0.0,na,na
116, Allison Transmission Holdings Inc ,10,0.0,0.0,na,na
117, Allstate Corp ,53,0.0,0.0,na,na
118, Ally Financial Inc ,19,0.0,0.0,na,na
119, Almacenes Exito SA ,67,0.0,0.0,na,na
120, Almendral SA ,0,0.0,0.0,na,na
121, Alnylam Pharmaceuticals Inc ,18,0.0,0.0,na,na
122, Alpek SAB de CV ,30,0.0,0.0,na,na
123, Alpha Bank AE ,31,0.0,0.0,na,na
124, Alphabet Inc ,38,1.0,0.0,na,GOOGL
125, Alps Alpine Co Ltd ,16,0.0,0.0,na,na
126, Alrosa PJSC ,15,0.0,0.0,na,na
127, ALS Ltd ,23,0.0,0.0,na,na
128, Alsea SAB de CV ,46,0.0,0.0,na,na
129, Alstom SA ,79,1.0,1.0,France,na
130, alstria office REIT-AG ,59,0.0,0.0,na,na
131, AltaGas Ltd ,14,0.0,0.0,na,na
132, Altium Ltd ,14,0.0,0.0,na,na
133, Altria Group Inc ,55,0.0,0.0,na,na
134, Alumina Ltd ,29,0.0,0.0,na,na
135, Amada Holdings Co Ltd ,11,0.0,0.0,na,na
136, Amadeus IT Group SA ,78,0.0,0.0,na,na
137, Amazon.com Inc ,16,0.0,0.0,na,na
138, Ambev SA ,31,0.0,1.0,Brazil,na
139, Ambu A/S ,14,0.0,0.0,na,na
140, Ambuja Cements Ltd ,82,0.0,0.0,na,na
141, Amcor PLC ,64,1.0,0.0,na,na
142, Amdocs Ltd ,48,0.0,1.0,United States of America (USA),DOX
143, Amedisys Inc ,10,0.0,0.0,na,AMED
144, Amer Sports Oyj ,29,0.0,0.0,na,na
145, Ameren Corp ,28,0.0,0.0,na,na
146, America Movil SAB de CV ,45,0.0,0.0,na,na
147, American Airlines Group Inc ,30,0.0,0.0,na,AAL
148, American Campus Communities Inc ,10,0.0,0.0,na,na
149, American Eagle Outfitters Inc ,10,0.0,1.0,United States of America (USA),na
150, American Electric Power Co Inc ,33,0.0,0.0,na,na
151, American Express Co ,36,0.0,0.0,na,na
152, American Homes 4 Rent ,5,0.0,0.0,na,na
153, American International Group Inc ,23,0.0,0.0,na,na
154, American Tower Corp ,18,0.0,0.0,na,na
155, American Water Works Co Inc ,45,0.0,0.0,na,na
156, Ameriprise Financial Inc ,25,0.0,0.0,na,na
157, AmerisourceBergen Corp ,33,0.0,0.0,na,na
158, AMETEK Inc ,15,0.0,0.0,na,na
159, Amgen Inc ,57,0.0,0.0,na,AMGN
160, AMMB Holdings Bhd ,24,0.0,0.0,na,na
161, Amorepacific Corp ,70,0.0,0.0,na,na
162, AMOREPACIFIC Group ,24,0.0,0.0,na,na
163, AMP Ltd ,31,0.0,0.0,na,na
164, Amphenol Corp ,13,0.0,0.0,na,na
165, Amundi SA ,49,0.0,0.0,na,na
166, ANA Holdings Inc ,78,0.0,0.0,na,na
167, Analog Devices Inc ,40,1.0,0.0,na,na
168, Ananti Inc ,0,0.0,0.0,na,na
169, Andino Investment Holding SAA ,3,0.0,0.0,na,na
170, ANDRITZ AG ,20,1.0,0.0,na,na
171, Anglo American Platinum Ltd ,64,0.0,0.0,na,na
172, Anglo American PLC ,71,0.0,0.0,na,na
173, AngloGold Ashanti Ltd ,69,0.0,0.0,na,na
174, Anheuser-Busch InBev SA/NV ,31,0.0,0.0,na,na
175, Anhui Conch Cement Co Ltd ,10,0.0,0.0,na,na
176, Annaly Capital Management Inc ,13,0.0,0.0,na,na
177, Ansell Ltd ,21,0.0,0.0,na,na
178, ANSYS Inc ,36,0.0,0.0,na,na
179, ANTA Sports Products Ltd ,24,0.0,0.0,na,na
180, AntarChile SA ,53,0.0,0.0,na,na
181, Anthem Inc ,66,0.0,0.0,na,na
182, Antofagasta PLC ,66,0.0,0.0,na,na
183, AO Smith Corp ,14,0.0,0.0,na,na
184, Aon PLC ,20,0.0,0.0,na,na
185, Aozora Bank Ltd ,15,0.0,0.0,na,na
186, AP Moller - Maersk A/S ,30,0.0,0.0,na,na
187, APA Group ,21,0.0,0.0,na,na
188, Apache Corp ,33,0.0,0.0,na,na
189, Apartment Investment & Management Co ,11,0.0,0.0,na,na
190, Apollo Hospitals Enterprise Ltd ,14,0.0,0.0,na,na
191, Appen Ltd ,11,0.0,0.0,na,na
192, Apple Hospitality REIT Inc ,7,0.0,0.0,na,na
193, Apple Inc ,29,0.0,0.0,na,AAPL
194, Applied Materials Inc ,36,1.0,0.0,na,na
195, Aptiv PLC ,49,1.0,0.0,na,na
196, Aramark ,13,0.0,0.0,na,na
197, ARB Corp Ltd ,8,0.0,0.0,na,na
198, Arca Continental SAB de CV ,68,0.0,0.0,na,na
199, Arcadis NV ,59,0.0,0.0,na,na
200, Arcelik AS ,69,0.0,0.0,na,na
201, ArcelorMittal SA ,52,0.0,0.0,na,na
202, Arch Capital Group Ltd ,28,0.0,0.0,na,ACGLP
203, Archer-Daniels-Midland Co ,66,0.0,0.0,na,na
204, Arconic Inc ,23,0.0,0.0,na,na
205, Ardent Leisure Group Ltd ,12,0.0,0.0,na,na
206, Arista Networks Inc ,15,0.0,0.0,na,na
207, Aristocrat Leisure Ltd ,13,0.0,0.0,na,na
208, Arkema SA ,65,0.0,0.0,na,na
209, Armstrong World Industries Inc ,10,0.0,0.0,na,na
210, Aroundtown SA ,30,0.0,0.0,na,na
211, Arrow Electronics Inc ,12,0.0,0.0,na,na
212, Arthur J Gallagher & Co ,24,0.0,0.0,na,na
213, Asahi Group Holdings Ltd ,82,0.0,0.0,na,na
214, Asahi Intecc Co Ltd ,2,0.0,0.0,na,na
215, Asahi Kasei Corp ,28,1.0,0.0,na,na
216, Asaleo Care Ltd ,44,0.0,0.0,na,na
217, Ascendas Real Estate Investment Trust ,22,0.0,0.0,na,na
218, ASE Technology Holding Co Ltd ,88,0.0,0.0,na,na
219, Aselsan Elektronik Sanayi Ve Ticaret AS ,19,0.0,0.0,na,na
220, Asesor de Activos Prisma SAPI de CV ,2,0.0,0.0,na,na
221, ASGN Inc ,7,0.0,0.0,na,na
222, Ashok Leyland Ltd ,25,0.0,0.0,na,na
223, Ashtead Group PLC ,17,0.0,0.0,na,na
224, Asia Cement Corp ,28,0.0,0.0,na,na
225, Asian Paints Ltd ,17,0.0,0.0,na,na
226, Asics Corp ,65,0.0,1.0,Japan,na
227, ASM Pacific Technology Ltd ,22,0.0,0.0,na,na
228, ASML Holding NV ,79,1.0,0.0,na,na
229, Aspen Pharmacare Holdings Ltd ,33,0.0,0.0,na,na
230, Aspen Technology Inc ,9,0.0,0.0,na,na
231, ASR Nederland NV ,73,0.0,0.0,na,na
232, Assa Abloy AB ,34,0.0,0.0,na,na
233, Assicurazioni Generali SpA ,80,0.0,0.0,na,na
234, Associated British Foods PLC ,27,0.0,0.0,na,na
235, Assurant Inc ,22,0.0,0.0,na,na
236, Assured Guaranty Ltd ,14,0.0,0.0,na,na
237, Astellas Pharma Inc ,33,0.0,1.0,Japan,na
238, Astra International Tbk PT ,20,0.0,0.0,na,na
239, AstraZeneca PLC ,81,0.0,1.0,United Kingdom (UK),na
240, Asustek Computer Inc ,70,0.0,0.0,na,na
241, ASX Ltd ,31,0.0,0.0,na,na
242, AT&T Inc ,72,0.0,1.0,United States of America (USA),na
243, Atacadao SA ,0,0.0,0.0,na,na
244, Athene Holding Ltd ,11,0.0,0.0,na,na
245, Atlas Arteria Ltd ,14,0.0,0.0,na,na
246, Atlas Copco AB ,36,1.0,0.0,na,na
247, Atlassian Corp PLC ,11,0.0,0.0,na,na
248, Atmos Energy Corp ,23,0.0,0.0,na,na
249, Atos SE ,82,0.0,1.0,France,na
250, AU Optronics Corp ,72,0.0,0.0,na,na
251, Auckland International Airport Ltd ,55,0.0,1.0,New Zealand,na
252, Aurizon Holdings Ltd ,29,0.0,0.0,na,na
253, Aurobindo Pharma Ltd ,12,0.0,0.0,na,na
254, Aurora Cannabis Inc ,6,0.0,0.0,na,na
255, AusNet Services ,15,0.0,1.0,United States of America (USA),na
256, Austral Group SAA ,13,0.0,0.0,na,na
257, Australia & New Zealand Banking Group Ltd ,82,0.0,0.0,na,na
258, Australian Pharmaceutical Industries Ltd ,15,0.0,0.0,na,na
259, Australis Seafoods SA ,1,0.0,0.0,na,na
260, Auto Trader Group PLC ,16,0.0,0.0,na,na
261, Autodesk Inc ,30,1.0,0.0,na,na
262, Autohome Inc ,6,0.0,0.0,na,na
263, Autoliv Inc ,23,0.0,0.0,na,na
264, Automatic Data Processing Inc ,26,0.0,0.0,na,ADP
265, Automotive Holdings Group Ltd ,15,0.0,0.0,na,na
266, AutoZone Inc ,14,0.0,0.0,na,na
267, AvalonBay Communities Inc ,34,0.0,0.0,na,na
268, Avangrid Inc ,73,1.0,0.0,na,na
269, Avenue Supermarts Ltd ,11,0.0,0.0,na,na
270, Aveo Group ,10,0.0,0.0,na,na
271, Avery Dennison Corp ,18,0.0,0.0,na,na
272, AVI Ltd ,20,0.0,0.0,na,na
273, Avianca Holdings SA ,69,0.0,0.0,na,na
274, Avicanna Inc ,19,0.0,0.0,na,na
275, AviChina Industry & Technology Co Ltd ,11,0.0,0.0,na,na
276, Aviva PLC ,65,0.0,0.0,na,na
277, Avnet Inc ,35,0.0,0.0,na,na
278, AXA SA ,83,0.0,1.0,France,na
279, Axalta Coating Systems Ltd ,41,0.0,0.0,na,na
280, Axiata Group Bhd ,28,0.0,0.0,na,na
281, Axis Bank Ltd ,50,0.0,0.0,na,na
282, Axis Capital Holdings Ltd ,10,0.0,0.0,na,na
283, Axtel SAB de CV ,38,0.0,0.0,na,na
284, Ayala Corp ,36,0.0,0.0,na,na
285, Ayala Land Inc ,57,0.0,0.0,na,na
286, Azbil Corp ,19,0.0,1.0,Japan,na
287, Azul SA ,9,0.0,0.0,na,na
288, B&M European Value Retail SA ,14,0.0,0.0,na,na
289, B2Gold Corp ,20,0.0,0.0,na,na
290, B2W Cia Digital ,27,0.0,0.0,na,na
291, B3 SA - Brasil Bolsa Balcao ,29,0.0,0.0,na,na
292, Babcock International Group PLC ,24,0.0,0.0,na,na
293, BAE Systems PLC ,68,0.0,0.0,na,na
294, Baidu Inc ,7,0.0,0.0,na,na
295, Bajaj Auto Ltd ,13,0.0,0.0,na,na
296, Bajaj Finance Ltd ,12,0.0,0.0,na,na
297, Bajaj Finserv Ltd ,13,0.0,0.0,na,na
298, Bajaj Holdings & Investment Ltd ,12,0.0,0.0,na,na
299, Baker Hughes Co ,34,0.0,0.0,na,na
300, Balkrishna Industries Ltd ,8,0.0,0.0,na,na
301, Ball Corp ,74,1.0,1.0,United States of America (USA),na
302, Baloise Holding AG ,23,0.0,0.0,na,na
303, Banco BBVA Peru SA ,0,0.0,0.0,na,na
304, Banco Bilbao Vizcaya Argentaria SA ,82,0.0,0.0,na,na
305, Banco BPM SpA ,42,0.0,0.0,na,na
306, Banco Bradesco SA ,82,0.0,0.0,na,na
307, Banco Comercial Portugues SA ,57,0.0,0.0,na,na
308, Banco Davivienda SA ,73,0.0,0.0,na,na
309, Banco de Chile ,53,0.0,0.0,na,na
310, Banco de Credito del Peru ,3,0.0,0.0,na,na
311, Banco de Credito e Inversiones SA ,59,0.0,0.0,na,na
312, Banco de Sabadell SA ,54,0.0,0.0,na,na
313, Banco del Bajio SA ,2,0.0,0.0,na,na
314, Banco del Estado de Chile ,58,0.0,0.0,na,na
315, Banco do Brasil SA ,86,1.0,0.0,na,na
316, Banco do Estado do Rio Grande do Sul SA ,9,0.0,0.0,na,na
317, Banco Santander Brasil SA ,29,0.0,0.0,na,na
318, Banco Santander Chile ,67,0.0,0.0,na,na
319, Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand ,52,0.0,0.0,na,na
320, Banco Santander SA ,86,0.0,0.0,na,na
321, Bancolombia SA ,85,0.0,1.0,Colombia,na
322, Bandai Namco Holdings Inc ,16,0.0,0.0,na,na
323, Bangkok Bank PCL ,58,0.0,0.0,na,na
324, Bangkok Dusit Medical Services PCL ,13,0.0,0.0,na,na
325, Bangkok Expressway & Metro PCL ,5,0.0,0.0,na,na
326, Bank Central Asia Tbk PT ,28,0.0,0.0,na,na
327, Bank Danamon Indonesia Tbk PT ,22,0.0,0.0,na,na
328, Bank Hapoalim BM ,59,0.0,0.0,na,na
329, Bank Leumi Le-Israel BM ,38,0.0,0.0,na,na
330, Bank Mandiri Persero Tbk PT ,23,0.0,0.0,na,na
331, Bank Millennium SA ,27,0.0,0.0,na,na
