,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ
473, CAE Inc ,25,0.0,0.0,na,na
474, Caesars Entertainment Corp ,53,0.0,1.0,United States of America (USA),CZR
475, CaixaBank SA ,81,0.0,0.0,na,na
476, Calbee Inc ,15,0.0,0.0,na,na
477, Caltex Australia Ltd ,32,0.0,0.0,na,na
478, Camden Property Trust ,8,0.0,0.0,na,na
479, Cameco Corp ,27,0.0,0.0,na,na
480, Campbell Soup Co ,64,0.0,0.0,na,na
481, Canadian Imperial Bank of Commerce ,66,0.0,0.0,na,na
482, Canadian National Railway Co ,74,1.0,1.0,Canada,na
483, Canadian Natural Resources Ltd ,29,0.0,0.0,na,na
484, Canadian Pacific Railway Ltd ,36,1.0,1.0,Canada,na
485, Canadian Tire Corp Ltd ,54,0.0,0.0,na,na
486, Canadian Utilities Ltd ,23,0.0,0.0,na,na
487, Candente Copper Corp ,4,0.0,0.0,na,na
488, Canon Inc ,53,0.0,0.0,na,na
489, Canopy Growth Corp ,1,0.0,0.0,na,na
490, Cantel Medical Corp ,10,0.0,0.0,na,na
491, CAP SA ,48,0.0,0.0,na,na
492, Capgemini SE ,49,0.0,1.0,France,na
493, Capita PLC ,36,0.0,0.0,na,na
494, Capital & Counties Properties PLC ,35,0.0,0.0,na,na
495, Capital One Financial Corp ,34,0.0,0.0,na,na
496, CapitaLand Commercial Trust ,30,0.0,0.0,na,na
497, CapitaLand Ltd ,74,1.0,0.0,na,na
498, CapitaLand Mall Trust ,27,0.0,0.0,na,na
499, Capitec Bank Holdings Ltd ,24,0.0,0.0,na,na
500, Capri Holdings Ltd ,10,0.0,0.0,na,na
501, Cardinal Health Inc ,45,0.0,0.0,na,na
502, Carlsberg A/S ,27,0.0,1.0,Denmark,na
503, CarMax Inc ,18,0.0,0.0,na,na
504, Carnival Corp ,54,0.0,0.0,na,na
505, Carrefour SA ,73,0.0,1.0,France,na
506, carsales.com Ltd ,22,0.0,0.0,na,na
507, Carter's Inc ,10,0.0,0.0,na,na
508, Casa Grande SAA ,0,0.0,0.0,na,na
509, Casino Guichard Perrachon SA ,71,0.0,1.0,France,na
510, Casio Computer Co Ltd ,56,0.0,1.0,Japan,na
511, Castellum AB ,79,0.0,1.0,Sweden,na
512, Catalent Inc ,13,0.0,0.0,na,na
513, Catcher Technology Co Ltd ,24,0.0,0.0,na,na
514, Caterpillar Inc ,76,0.0,0.0,na,na
515, Cathay Financial Holding Co Ltd ,80,0.0,0.0,na,na
516, Cboe Global Markets Inc ,15,0.0,0.0,na,na
517, CBRE Group Inc ,70,0.0,0.0,na,na
518, CBS Corp ,12,0.0,0.0,na,na
519, CCC SA ,16,0.0,0.0,na,na
520, CCL Industries Inc ,15,0.0,0.0,na,na
521, CCR SA ,24,0.0,0.0,na,na
522, CD Projekt SA ,3,0.0,0.0,na,na
523, CDK Global Inc ,11,0.0,0.0,na,na
524, CDW Corp/DE ,11,0.0,0.0,na,CDW
525, Celanese Corp ,19,0.0,0.0,na,na
526, Celgene Corp ,30,0.0,0.0,na,na
527, Cellnex Telecom SA ,60,0.0,1.0,Spain,na
528, Celltrion Healthcare Co Ltd ,4,0.0,0.0,na,na
529, Celltrion Inc ,7,0.0,0.0,na,na
530, Celltrion Pharm Inc ,4,0.0,0.0,na,na
531, Celsia SA ESP ,83,0.0,0.0,na,na
532, Cembra Money Bank AG ,33,0.0,0.0,na,na
533, Cementos Argos SA ,87,0.0,0.0,na,na
534, Cementos BIO BIO SA ,1,0.0,0.0,na,na
535, Cementos Pacasmayo SAA ,55,0.0,0.0,na,na
536, CEMEX Latam Holdings SA ,24,0.0,0.0,na,na
537, Cemex SAB de CV ,72,0.0,0.0,na,na
538, Cencosud SA ,61,0.0,0.0,na,na
539, Cenovus Energy Inc ,33,0.0,0.0,na,na
540, Centene Corp ,12,0.0,0.0,na,na
541, CenterPoint Energy Inc ,17,0.0,0.0,na,na
542, Centrais Eletricas Brasileiras SA ,78,0.0,0.0,na,na
543, Central Japan Railway Co ,14,0.0,0.0,na,na
544, Central Pattana PCL ,73,0.0,0.0,na,na
545, Centrica PLC ,41,0.0,0.0,na,na
546, CenturyLink Inc ,29,0.0,0.0,na,na
547, Cerner Corp ,17,0.0,0.0,na,CERN
548, CEZ AS ,36,0.0,0.0,na,na
549, CF Industries Holdings Inc ,26,0.0,0.0,na,na
550, CGI Inc ,46,0.0,0.0,na,na
551, CGN Power Co Ltd ,4,0.0,0.0,na,na
552, CH Robinson Worldwide Inc ,24,0.0,0.0,na,na
553, Chailease Holding Co Ltd ,54,0.0,0.0,na,na
554, Challenger Ltd ,35,0.0,0.0,na,na
555, Chang Hwa Commercial Bank Ltd ,13,0.0,0.0,na,na
556, Charles River Laboratories International Inc ,14,0.0,0.0,na,na
557, Charles Schwab Corp ,20,0.0,0.0,na,na
558, Charoen Pokphand Foods PCL ,82,0.0,0.0,na,na
559, Charoen Pokphand Indonesia Tbk PT ,8,0.0,0.0,na,na
560, Charter Communications Inc ,10,0.0,0.0,na,na
561, Charter Hall Group ,66,0.0,0.0,na,na
562, Charter Hall Long Wale REIT ,56,0.0,0.0,na,na
563, Charter Hall Retail REIT ,62,0.0,0.0,na,na
564, Check Point Software Technologies Ltd ,9,0.0,0.0,na,CHKP
565, Chegg Inc ,9,0.0,0.0,na,na
566, Cheil Worldwide Inc ,1,0.0,0.0,na,na
567, Chemed Corp ,8,0.0,0.0,na,na
568, Cheng Shin Rubber Industry Co Ltd ,1,0.0,0.0,na,na
569, Cheniere Energy Inc ,15,0.0,0.0,na,na
570, Chevron Corp ,40,0.0,0.0,na,na
571, Chiba Bank Ltd ,12,0.0,0.0,na,na
572, Chicony Electronics Co Ltd ,25,0.0,0.0,na,na
573, Chimera Investment Corp ,10,0.0,0.0,na,na
574, China Airlines Ltd ,77,0.0,0.0,na,na
575, China Cinda Asset Management Co Ltd ,11,0.0,0.0,na,na
576, China CITIC Bank Corp Ltd ,29,0.0,0.0,na,na
577, China Communications Construction Co Ltd ,19,0.0,0.0,na,na
578, China Communications Services Corp Ltd ,17,0.0,0.0,na,na
579, China Conch Venture Holdings Ltd ,12,0.0,0.0,na,na
580, China Construction Bank Corp ,29,0.0,0.0,na,na
581, China Development Financial Holding Corp ,76,0.0,0.0,na,na
582, China Everbright Bank Co Ltd ,18,0.0,0.0,na,na
583, China Everbright International Ltd ,62,1.0,0.0,na,na
584, China Everbright Ltd ,14,0.0,0.0,na,na
585, China Evergrande Group ,16,0.0,0.0,na,na
586, China First Capital Group Ltd ,7,0.0,0.0,na,na
587, China Galaxy Securities Co Ltd ,20,0.0,0.0,na,na
588, China Gas Holdings Ltd ,19,0.0,0.0,na,na
589, China Hongqiao Group Ltd ,11,0.0,0.0,na,na
590, China Huarong Asset Management Co Ltd ,19,0.0,0.0,na,na
591, China International Capital Corp Ltd ,18,0.0,0.0,na,na
592, China Jinmao Holdings Group Ltd ,25,0.0,0.0,na,na
593, China Life Insurance Co Ltd ,19,0.0,0.0,na,na
594, China Life Insurance Co Ltd/29 ,28,0.0,0.0,na,na
595, China Literature Ltd ,12,0.0,0.0,na,na
596, China Longyuan Power Group Corp Ltd ,13,1.0,0.0,na,na
597, China Medical System Holdings Ltd ,14,0.0,0.0,na,na
598, China Mengniu Dairy Co Ltd ,13,0.0,0.0,na,na
599, China Merchants Bank Co Ltd ,23,0.0,0.0,na,na
600, China Merchants Port Holdings Co Ltd ,13,0.0,0.0,na,na
601, China Merchants Securities Co Ltd ,17,0.0,0.0,na,na
602, China Minsheng Banking Corp Ltd ,21,0.0,0.0,na,na
603, China Mobile Ltd ,58,0.0,0.0,na,na
604, China Molybdenum Co Ltd ,15,0.0,0.0,na,na
605, China National Building Material Co Ltd ,8,0.0,0.0,na,na
606, China Oilfield Services Ltd ,21,0.0,0.0,na,na
607, China Overseas Land & Investment Ltd ,40,0.0,0.0,na,na
608, China Pacific Insurance Group Co Ltd ,10,0.0,0.0,na,na
609, China Petrochemical Development Corp ,61,0.0,0.0,na,na
610, China Petroleum & Chemical Corp ,29,0.0,0.0,na,na
611, China Railway Construction Corp Ltd ,6,0.0,0.0,na,na
612, China Railway Group Ltd ,11,0.0,0.0,na,na
613, China Reinsurance Group Corp ,17,0.0,0.0,na,na
614, China Resources Beer Holdings Co Ltd ,16,0.0,0.0,na,na
615, China Resources Cement Holdings Ltd ,22,0.0,0.0,na,na
616, China Resources Gas Group Ltd ,13,0.0,0.0,na,na
617, China Resources Land Ltd ,14,0.0,0.0,na,na
618, China Resources Pharmaceutical Group Ltd ,16,0.0,0.0,na,na
619, China Resources Power Holdings Co Ltd ,41,0.0,0.0,na,na
620, China Shenhua Energy Co Ltd ,15,0.0,0.0,na,na
621, China Southern Airlines Co Ltd ,14,0.0,0.0,na,na
622, China State Construction International Holdings Ltd ,40,0.0,0.0,na,na
623, China Steel Corp ,59,0.0,0.0,na,na
624, China Taiping Insurance Holdings Co Ltd ,14,0.0,0.0,na,na
625, China Telecom Corp Ltd ,21,0.0,0.0,na,na
626, China Tower Corp Ltd ,11,0.0,0.0,na,na
627, China Unicom Hong Kong Ltd ,18,0.0,0.0,na,na
628, China Vanke Co Ltd ,10,0.0,0.0,na,na
629, Chipbond Technology Corp ,7,0.0,0.0,na,na
630, Chipotle Mexican Grill Inc ,15,0.0,0.0,na,na
631, Chocoladefabriken Lindt & Spruengli AG ,22,0.0,0.0,na,na
632, Chongqing Rural Commercial Bank Co Ltd ,22,0.0,0.0,na,na
633, Chorus Ltd ,43,0.0,0.0,na,na
634, Chr Hansen Holding A/S ,20,1.0,0.0,na,na
635, Chroma ATE Inc ,20,0.0,0.0,na,na
636, Chubb Ltd ,46,0.0,0.0,na,na
637, Chubu Electric Power Co Inc ,21,0.0,0.0,na,na
638, Chugai Pharmaceutical Co Ltd ,73,0.0,0.0,na,na
639, Chugoku Electric Power Co Inc ,8,0.0,0.0,na,na
640, Chunghwa Telecom Co Ltd ,75,0.0,0.0,na,na
641, Church & Dwight Co Inc ,24,0.0,0.0,na,na
642, Churchill Downs Inc ,8,0.0,0.0,na,na
643, CI Financial Corp ,24,0.0,0.0,na,na
644, Cia Brasileira de Distribuicao ,19,0.0,0.0,na,na
645, Cia Cervecerias Unidas SA ,58,0.0,0.0,na,na
646, Cia de Minas Buenaventura SAA ,15,0.0,0.0,na,na
647, Cia de Saneamento Basico do Estado de Sao Paulo ,15,0.0,0.0,na,na
648, Cia Energetica de Minas Gerais ,85,0.0,0.0,na,na
649, Cia Maritima Chilena SA ,0,0.0,0.0,na,na
650, Cia Pesquera Camanchaca SA ,12,0.0,0.0,na,na
651, Cia Siderurgica Nacional SA ,7,0.0,0.0,na,na
652, Cia Sud Americana de Vapores SA ,10,0.0,0.0,na,na
653, Cie de Saint-Gobain ,67,0.0,0.0,na,na
654, Cie Financiere Richemont SA ,30,0.0,0.0,na,na
655, Cie Generale des Etablissements Michelin SCA ,52,0.0,0.0,na,na
656, Cie Plastic Omnium SA ,67,0.0,0.0,na,na
657, Cielo SA ,68,0.0,0.0,na,na
658, CIFI Holdings Group Co Ltd ,14,0.0,0.0,na,na
659, Cigna Corp ,78,0.0,0.0,na,na
660, Cimarex Energy Co ,21,0.0,0.0,na,na
661, CIMB Group Holdings Bhd ,43,0.0,0.0,na,na
662, CIMIC Group Ltd ,68,1.0,0.0,na,na
663, Cimpress NV ,7,0.0,0.0,na,CMPR
664, Cincinnati Financial Corp ,18,0.0,0.0,na,CINF
665, Cinemark Holdings Inc ,6,0.0,0.0,na,na
666, Cineworld Group PLC ,9,0.0,0.0,na,na
667, Cintac SA ,0,0.0,0.0,na,na
668, Cintas Corp ,12,0.0,0.0,na,CTAS
669, Cipla Ltd/India ,34,0.0,0.0,na,na
670, Cisco Systems Inc ,82,1.0,0.0,na,na
671, CIT Group Inc ,18,0.0,0.0,na,na
672, CITIC Ltd ,9,0.0,0.0,na,na
673, Citigroup Inc ,71,0.0,0.0,na,na
674, Citizens Financial Group Inc ,26,0.0,0.0,na,na
675, Citrix Systems Inc ,14,0.0,0.0,na,na
676, City Developments Ltd ,70,1.0,1.0,Singapore,na
677, CJ CheilJedang Corp ,72,0.0,0.0,na,na
678, CJ Corp ,3,0.0,0.0,na,na
679, CJ ENM Co Ltd ,1,0.0,0.0,na,na
680, CJ Logistics Corp ,24,0.0,0.0,na,na
681, CK Asset Holdings Ltd ,15,0.0,0.0,na,na
682, CK Hutchison Holdings Ltd ,21,0.0,0.0,na,na
683, CK Infrastructure Holdings Ltd ,9,0.0,0.0,na,na
684, Clariant AG ,82,1.0,0.0,na,na
685, Cleanaway Waste Management Ltd ,22,0.0,0.0,na,na
686, Clicks Group Ltd ,29,0.0,0.0,na,na
687, Clinica Las Condes SA ,1,0.0,0.0,na,na
688, Clorox Co ,31,0.0,0.0,na,na
689, Close Brothers Group PLC ,35,0.0,0.0,na,na
690, CLP Holdings Ltd ,73,0.0,0.0,na,na
691, CME Group Inc ,20,0.0,0.0,na,na
692, CMS Energy Corp ,39,0.0,0.0,na,na
693, CNH Industrial NV ,88,0.0,1.0,United Kingdom (UK),na
694, CNOOC Ltd ,28,0.0,0.0,na,na
695, CNP Assurances ,43,0.0,0.0,na,na
696, Coal India Ltd ,15,0.0,0.0,na,na
697, Cobham PLC ,37,0.0,0.0,na,na
698, Coca-Cola Amatil Ltd ,32,0.0,0.0,na,na
699, Coca-Cola Bottlers Japan Holdings Inc ,52,0.0,0.0,na,na
700, Coca-Cola Co ,35,0.0,1.0,Mexico,na
701, Coca-Cola Embonor SA ,0,0.0,0.0,na,na
702, Coca-Cola European Partners PLC ,89,0.0,1.0,United Kingdom (UK),na
703, Coca-Cola Femsa SAB de CV ,71,0.0,0.0,na,na
704, Coca-Cola HBC AG ,90,0.0,1.0,Switzerland,na
705, Cochlear Ltd ,27,0.0,0.0,na,na
706, Cogna Educacao ,24,0.0,0.0,na,na
707, Cognex Corp ,8,0.0,0.0,na,CGNX
708, Cognizant Technology Solutions Corp ,30,0.0,0.0,na,CTSH
709, Colbun SA ,74,0.0,0.0,na,na
710, Coles Group Ltd ,60,0.0,0.0,na,na
711, Colgate-Palmolive Co ,82,0.0,0.0,na,na
712, Colgate-Palmolive India Ltd ,14,0.0,0.0,na,na
713, Colombina SA ,77,0.0,0.0,na,na
714, Coloplast A/S ,58,0.0,0.0,na,na
715, Colruyt SA ,21,0.0,0.0,na,na
716, Com2uSCorp ,0,0.0,0.0,na,na
717, Comcast Corp ,48,0.0,0.0,na,CMCSA
718, Comerica Inc ,37,0.0,0.0,na,na
719, ComfortDelGro Corp Ltd ,45,0.0,0.0,na,na
720, Commercial Bank PSQC ,14,0.0,0.0,na,na
721, Commercial International Bank Egypt SAE ,36,0.0,0.0,na,na
722, Commerzbank AG ,43,0.0,0.0,na,na
723, Commonwealth Bank of Australia ,64,0.0,0.0,na,na
724, Compal Electronics Inc ,28,0.0,0.0,na,na
725, Compass Group PLC ,62,0.0,0.0,na,na
726, Computershare Ltd ,16,0.0,0.0,na,na
727, COMSYS Holdings Corp ,3,0.0,0.0,na,na
728, Conagra Brands Inc ,34,0.0,0.0,na,na
729, Concentradora Fibra Danhos SA de CV ,30,0.0,0.0,na,na
730, Concentradora Fibra Hotelera Mexicana SA de CV ,0,0.0,0.0,na,na
731, Concho Resources Inc ,17,0.0,0.0,na,na
732, Concordia Financial Group Ltd ,13,0.0,0.0,na,na
733, ConocoPhillips ,67,0.0,0.0,na,na
734, Consolidated Edison Inc ,18,0.0,0.0,na,na
735, Consorcio ARA SAB de CV ,11,0.0,0.0,na,na
736, Constellation Brands Inc ,16,0.0,0.0,na,na
737, Constellation Software Inc/Canada ,2,0.0,0.0,na,na
738, Contact Energy Ltd ,40,0.0,0.0,na,na
739, Container Corp Of India Ltd ,10,0.0,0.0,na,na
740, Continental AG ,31,0.0,0.0,na,na
741, Continental Resources Inc/OK ,15,0.0,0.0,na,na
742, Controladora Vuela Cia de Aviacion SAB de CV ,19,0.0,0.0,na,na
743, Contugas S.A.C. ,40,0.0,0.0,na,na
744, Cooper Cos Inc ,11,0.0,0.0,na,na
745, Copart Inc ,11,0.0,0.0,na,na
746, CoreSite Realty Corp ,16,0.0,0.0,na,na
747, Cornerstone OnDemand Inc ,11,0.0,0.0,na,na
748, Corning Inc ,13,0.0,1.0,United States of America (USA),na
749, Corp Aceros Arequipa SA ,38,0.0,0.0,na,na
750, Corp Financiera Colombiana SA ,31,0.0,0.0,na,na
751, Corp Inmobiliaria Vesta SAB de CV ,42,0.0,0.0,na,na
752, Corporate Travel Management Ltd ,10,0.0,0.0,na,na
753, Cosan SA ,25,0.0,0.0,na,na
754, COSCO SHIPPING Ports Ltd ,21,0.0,0.0,na,na
755, Cosmax Inc ,0,0.0,0.0,na,na
756, Costa Group Holdings Ltd ,15,0.0,0.0,na,na
757, CoStar Group Inc ,11,0.0,0.0,na,na
758, Costco Wholesale Corp ,18,0.0,0.0,na,COST
759, Coty Inc ,12,0.0,0.0,na,na
760, Country Garden Holdings Co Ltd ,42,0.0,0.0,na,na
761, Country Garden Services Holdings Co Ltd ,5,0.0,0.0,na,na
762, Coupa Software Inc ,9,0.0,0.0,na,COUP
763, Cousins Properties Inc ,11,0.0,0.0,na,na
764, Covestro AG ,29,0.0,0.0,na,na
765, Covivio ,68,0.0,1.0,France,na
766, CP ALL PCL ,83,0.0,0.0,na,na
767, CPN Retail Growth Leasehold REIT ,12,0.0,0.0,na,na
768, Crane Co ,11,0.0,0.0,na,na
769, Credicorp Ltd ,45,0.0,0.0,na,na
770, Credit Agricole SA ,51,0.0,1.0,France,na
771, Credit Corp Group Ltd ,18,0.0,0.0,na,na
772, Credit Suisse Group AG ,68,0.0,0.0,na,ZIV
773, Credito Real SAB de CV SOFOM ER ,32,0.0,0.0,na,na
774, Cree Inc ,19,0.0,0.0,na,na
775, CRH PLC ,80,0.0,1.0,Ireland,na
776, Cristalerias de Chile SA ,0,0.0,0.0,na,na
777, Croda International PLC ,39,0.0,0.0,na,na
778, Crompton Greaves Consumer Electricals Ltd ,12,0.0,0.0,na,na
779, Cromwell Property Group ,47,0.0,0.0,na,na
780, Crown Castle International Corp ,7,0.0,0.0,na,na
781, Crown Holdings Inc ,36,0.0,0.0,na,na
782, Crown Resorts Ltd ,22,0.0,0.0,na,na
783, CRRC Corp Ltd ,13,0.0,0.0,na,na
784, CSL Ltd ,31,0.0,0.0,na,na
785, CSPC Pharmaceutical Group Ltd ,14,0.0,0.0,na,na
786, CSR Ltd ,23,0.0,0.0,na,na
787, CSX Corp ,60,1.0,1.0,United States of America (USA),CSX
788, CTBC Financial Holding Co Ltd ,75,0.0,0.0,na,na
789, CTCI Corp ,77,0.0,0.0,na,na
790, CubeSmart ,8,0.0,0.0,na,na
791, Cullen/Frost Bankers Inc ,10,0.0,0.0,na,na
792, Cummins Inc ,75,0.0,1.0,United States of America (USA),na
793, Curtiss-Wright Corp ,9,0.0,0.0,na,na
794, CVC Brasil Operadora e Agencia de Viagens SA ,2,0.0,0.0,na,na
795, CVS Health Corp ,72,0.0,1.0,United States of America (USA),na
796, CyberAgent Inc ,20,0.0,0.0,na,na
797, CyberArk Software Ltd ,8,0.0,0.0,na,CYBR
798, Cyfrowy Polsat SA ,8,0.0,0.0,na,na
799, Cypress Semiconductor Corp ,8,0.0,0.0,na,CY
800, CyrusOne Inc ,7,0.0,0.0,na,CONE
801, Dabur India Ltd ,13,0.0,0.0,na,na
802, Daelim Industrial Co Ltd ,5,0.0,0.0,na,na
803, Daewoo Engineering & Construction Co Ltd ,40,0.0,0.0,na,na
804, Daewoo Shipbuilding & Marine Engineering Co Ltd ,6,0.0,0.0,na,na
805, Daewoong Pharmaceutical Co Ltd ,4,0.0,0.0,na,na
806, Dai Nippon Printing Co Ltd ,52,0.0,1.0,Japan,na
807, Dai-ichi Life Holdings Inc ,67,0.0,0.0,na,na
808, Daicel Corp ,17,0.0,0.0,na,na
809, Daifuku Co Ltd ,18,0.0,0.0,na,na
810, Daiichi Sankyo Co Ltd ,78,0.0,1.0,Japan,na
811, Daiichikosho Co Ltd ,2,0.0,0.0,na,na
812, Daikin Industries Ltd ,70,0.0,0.0,na,na
813, Daimler AG ,40,0.0,0.0,na,na
814, Dairy Farm International Holdings Ltd ,6,0.0,0.0,na,na
815, Daito Trust Construction Co Ltd ,19,0.0,0.0,na,na
816, Daiwa House Industry Co Ltd ,59,0.0,1.0,Japan,na
817, Daiwa House REIT Investment Corp ,3,0.0,0.0,na,na
818, Daiwa Securities Group Inc ,63,0.0,0.0,na,na
819, Dali Foods Group Co Ltd ,15,0.0,0.0,na,na
820, Dalmia Bharat Ltd/India ,59,0.0,1.0,India,na
821, Danaher Corp ,19,1.0,0.0,na,na
822, Danone SA ,75,0.0,1.0,France,na
823, Danske Bank A/S ,36,0.0,0.0,na,na
824, Darden Restaurants Inc ,15,0.0,0.0,na,na
825, Dassault Aviation SA ,24,0.0,0.0,na,na
826, Dassault Systemes SE ,26,1.0,0.0,na,na
827, Davide Campari-Milano SpA ,21,0.0,0.0,na,na
828, DaVita Inc ,61,0.0,0.0,na,na
829, DB Insurance Co Ltd ,66,0.0,0.0,na,na
830, DBS Group Holdings Ltd ,64,0.0,0.0,na,na
831, DCC PLC ,22,0.0,0.0,na,na
832, Dechra Pharmaceuticals PLC ,16,0.0,0.0,na,na
833, Deere & Co ,32,0.0,0.0,na,na
834, Delivery Hero SE ,5,0.0,0.0,na,na
835, Dell Technologies Inc ,32,0.0,1.0,United States of America (USA),na
836, Delta Air Lines Inc ,55,0.0,0.0,na,na
837, Delta Electronics Inc ,80,1.0,1.0,"Taiwan, Province of China",na
838, Delta Electronics Thailand PCL ,78,0.0,1.0,"Taiwan, Province of China",na
839, Demant A/S ,19,0.0,0.0,na,na
840, Denka Co Ltd ,17,0.0,0.0,na,na
841, Denso Corp ,43,0.0,0.0,na,na
842, DENTSPLY SIRONA Inc ,21,0.0,0.0,na,XRAY
843, Dentsu Inc ,51,0.0,1.0,Japan,na
844, Deutsche Bank AG ,48,0.0,0.0,na,na
845, Deutsche Boerse AG ,66,0.0,0.0,na,na
846, Deutsche Lufthansa AG ,55,0.0,0.0,na,na
847, Deutsche Post AG ,72,0.0,1.0,Germany,na
848, Deutsche Telekom AG ,86,0.0,1.0,Germany,na
849, Deutsche Wohnen SE ,25,0.0,0.0,na,na
850, Devon Energy Corp ,43,0.0,0.0,na,na
851, DexCom Inc ,11,0.0,0.0,na,na
852, Dexus ,90,0.0,1.0,Australia,na
853, DGB Financial Group Inc ,63,0.0,1.0,South Korea,na
854, Diageo PLC ,86,0.0,1.0,United Kingdom (UK),na
855, Dialog Group Bhd ,23,0.0,0.0,na,na
856, Diamondback Energy Inc ,19,0.0,0.0,na,na
857, DIC Corp ,71,0.0,0.0,na,na
858, DiGi.Com Bhd ,25,0.0,0.0,na,na
859, Digital Realty Trust Inc ,44,0.0,0.0,na,na
860, Dino Polska SA ,19,0.0,0.0,na,na
861, Direct Line Insurance Group PLC ,29,0.0,0.0,na,na
862, Disco Corp ,30,0.0,0.0,na,na
863, Discover Financial Services ,30,0.0,0.0,na,PFIS
864, Discovery Inc ,13,0.0,0.0,na,na
865, Discovery Ltd ,32,0.0,0.0,na,na
866, DISH Network Corp ,9,0.0,0.0,na,DISH
867, Divi's Laboratories Ltd ,15,0.0,0.0,na,na
868, DKSH Holding AG ,31,0.0,0.0,na,na
869, DLF Ltd ,40,0.0,0.0,na,na
870, DMCI Holdings Inc ,12,0.0,0.0,na,na
871, DNB ASA ,43,0.0,0.0,na,na
872, Dollar General Corp ,16,0.0,0.0,na,na
873, Dollar Tree Inc ,12,0.0,0.0,na,na
874, Dollarama Inc ,15,0.0,0.0,na,na
875, Domain Holdings Australia Ltd ,14,0.0,0.0,na,na
876, Dominion Energy Inc ,35,0.0,0.0,na,na
877, Domino's Pizza Enterprises Ltd ,13,0.0,0.0,na,na
878, Domino's Pizza Inc ,9,0.0,0.0,na,na
879, Dongfeng Motor Group Co Ltd ,20,0.0,0.0,na,na
880, Dongsuh Cos Inc ,0,0.0,0.0,na,na
881, Doosan Bobcat Inc ,3,0.0,0.0,na,na
882, Doosan Co Ltd ,73,1.0,0.0,na,na
883, Doosan Heavy Industries & Construction Co Ltd ,66,1.0,0.0,na,na
884, Doosan Infracore Co Ltd ,55,0.0,0.0,na,na
885, Douglas Emmett Inc ,11,0.0,0.0,na,na
886, Douzone Bizon Co Ltd ,0,0.0,0.0,na,na
887, Dover Corp ,19,1.0,0.0,na,na
888, Dow Inc ,76,0.0,0.0,na,na
889, Downer EDI Ltd ,48,0.0,0.0,na,na
890, DP World PLC ,54,0.0,0.0,na,na
891, DR Horton Inc ,25,0.0,0.0,na,na
892, Dr Reddy's Laboratories Ltd ,61,0.0,0.0,na,na
893, DS Smith PLC ,40,0.0,0.0,na,na
894, DSV PANALPINA A/S ,29,0.0,1.0,Denmark,na
895, DTE Energy Co ,31,0.0,0.0,na,na
896, Dubai Islamic Bank PJSC ,7,0.0,0.0,na,na
897, Dufry AG ,14,0.0,0.0,na,na
898, Duke Energy Corp ,73,0.0,0.0,na,na
899, Duke Realty Corp ,14,0.0,0.0,na,na
900, DuluxGroup Ltd ,16,0.0,0.0,na,na
901, DXC Technology Co ,48,0.0,0.0,na,na
902, E*TRADE Financial Corp ,17,0.0,0.0,na,ETFC
903, E-MART Inc ,4,0.0,0.0,na,na
904, E.ON SE ,36,0.0,0.0,na,na
905, E.Sun Financial Holding Co Ltd ,85,0.0,0.0,na,na
906, Eagle Materials Inc ,8,0.0,0.0,na,na
907, East Japan Railway Co ,29,0.0,0.0,na,na
908, East West Bancorp Inc ,12,0.0,0.0,na,EWBC
909, EastGroup Properties Inc ,5,0.0,0.0,na,na
910, Eastman Chemical Co ,31,0.0,0.0,na,na
911, easyJet PLC ,20,0.0,0.0,na,na
912, Eaton Corp PLC ,27,0.0,0.0,na,na
913, Ebara Corp ,52,1.0,0.0,na,na
914, eBay Inc ,63,1.0,0.0,na,EBAYL
915, Echeverria Izquierdo SA ,0,0.0,0.0,na,na
916, Eclat Textile Co Ltd ,3,0.0,0.0,na,na
917, Eclipx Group Ltd ,18,0.0,0.0,na,na
918, Ecolab Inc ,71,1.0,1.0,United States of America (USA),na
919, Ecopetrol SA ,29,0.0,0.0,na,na
920, Ecopro Co Ltd ,1,0.0,0.0,na,na
921, Edelweiss Financial Services Ltd ,15,0.0,0.0,na,PFIS
922, Edenred ,57,0.0,0.0,na,na
923, Edison International ,21,0.0,0.0,na,na
924, EDP - Energias de Portugal SA ,90,0.0,1.0,Portugal,na
925, EDP Renovaveis SA ,86,1.0,0.0,na,na
926, Edwards Lifesciences Corp ,74,0.0,0.0,na,na
927, Eicher Motors Ltd ,12,0.0,0.0,na,na
928, Eiffage SA ,30,0.0,0.0,na,na
929, Eisai Co Ltd ,68,0.0,0.0,na,na
930, El Puerto de Liverpool SAB de CV ,26,0.0,0.0,na,na
931, Elders Ltd ,9,0.0,0.0,na,na
932, Electric Power Development Co Ltd ,22,0.0,0.0,na,na
933, Electricite de France SA ,80,0.0,0.0,na,na
934, Electricity Generating PCL ,71,0.0,0.0,na,na
935, Electrocomponents PLC ,17,0.0,0.0,na,na
936, Electrolux AB ,67,1.0,1.0,Sweden,na
937, Electronic Arts Inc ,14,0.0,0.0,na,EA
938, Elekta AB ,15,0.0,0.0,na,na
939, Eli Lilly & Co ,30,0.0,0.0,na,na
940, Elis SA ,27,0.0,0.0,na,na
941, Elisa OYJ ,37,0.0,1.0,Finland,na
942, Emaar Properties PJSC ,3,0.0,0.0,na,na
943, Embotelladora Andina SA ,75,0.0,0.0,na,na
944, Embraer SA ,63,0.0,0.0,na,na
945, EMCOR Group Inc ,15,0.0,0.0,na,na
