,Unnamed: 0,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North
2346,2346, PVH Corp ,36,0.0,1.0,United States of America (USA),na,PVH,na
2493,2493, Sanofi ,82,0.0,1.0,France,SNY,na,na
2498,2498, SAP SE ,69,1.0,1.0,Germany,na,SAP,na
2514,2514, Schlumberger Ltd ,59,0.0,1.0,United States of America (USA),na,SLB,na
2521,2521, Seagate Technology PLC ,32,0.0,1.0,Ireland,STX,na,na
2634,2634, SK Telecom Co Ltd ,84,0.0,1.0,South Korea,na,SKM,na
2636,2636, Skanska AB ,38,1.0,1.0,Sweden,na,na,SKA B
2713,2713, Stanley Black & Decker Inc ,85,0.0,1.0,United States of America (USA),na,SWT,na
2729,2729, Stora Enso OYJ ,37,0.0,1.0,Finland,na,na,STERV
2771,2771, Swedish Match AB ,32,0.0,1.0,Sweden,na,na,SWMA
2800,2800, Taiwan Semiconductor Manufacturing Co Ltd ,87,1.0,1.0,"Taiwan, Province of China",na,TSM,na
2809,2809, Target Corp ,41,0.0,1.0,United States of America (USA),na,TGT,na
2834,2834, Tele2 AB ,38,0.0,1.0,Sweden,na,na,TEL2 B
2877,2877, Thomson Reuters Corp ,26,0.0,1.0,Canada,na,TRI,na
2979,2979, Unilever NV ,90,0.0,1.0,United Kingdom (UK),na,UL,na
2982,2982, Union Pacific Corp ,28,0.0,1.0,United States of America (USA),na,UNP,na
3003,3003, UPM-Kymmene OYJ ,89,0.0,1.0,Finland,na,na,UPM
3010,3010, Valmet OYJ ,82,0.0,1.0,Finland,na,na,VALMT
3094,3094, Westpac Banking Corp ,83,0.0,1.0,Australia,na,WBK,na
3103,3103, Whirlpool Corp ,57,0.0,1.0,United States of America (USA),na,WHR,na
3113,3113, Wipro Ltd ,80,0.0,1.0,India,na,WIT,na
3138,3138, Wyndham Hotels & Resorts Inc ,18,0.0,1.0,United States of America (USA),na,WH,na
