Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,641.739990,692.210022,591.700012,662.330017,662.330017,2556443100
2009-01-01,662.330017,704.489990,591.619995,617.380005,617.380005,3253205000
2009-02-01,617.500000,690.510010,595.619995,640.390015,640.390015,3661750400
2009-03-01,638.380005,689.960022,593.280029,653.049988,653.049988,4434132900
2009-04-01,652.190002,784.419983,641.020020,763.890015,763.890015,4222640800
2009-05-01,763.890015,816.349976,734.119995,776.500000,776.500000,3200551800
2009-06-01,777.349976,810.030029,749.070007,795.799988,795.799988,3206830900
2009-07-01,795.919983,884.119995,766.710022,882.049988,882.049988,2510889900
2009-08-01,881.450012,925.030029,853.260010,904.840027,904.840027,2576913600
2009-09-01,905.090027,929.590027,867.880005,896.760010,896.760010,2778672200
2009-10-01,896.400024,950.890015,859.880005,944.669983,944.669983,3159002900
2009-11-01,942.340027,976.859985,916.789978,936.190002,936.190002,2372388800
2009-12-01,937.390015,973.580017,935.809998,951.719971,951.719971,1945947500
2010-01-01,951.719971,986.000000,934.659973,953.710022,953.710022,2425271900
2010-02-01,952.820007,975.250000,919.390015,947.390015,947.390015,2597768600
2010-03-01,954.200012,1036.300049,953.539978,1021.080017,1021.080017,2446243600
2010-04-01,1026.670044,1077.469971,1025.689941,1053.880005,1053.880005,2657823100
2010-05-01,1049.540039,1062.880005,923.130005,980.630005,980.630005,3207594700
2010-06-01,977.849976,1069.719971,961.159973,1005.929993,1005.929993,2320681600
2010-07-01,992.780029,1068.699951,975.489990,1047.260010,1047.260010,2219370400
2010-08-01,1052.109985,1083.900024,982.520020,1011.700012,1011.700012,1996541400
2010-09-01,1017.289978,1100.729980,1009.739990,1087.709961,1087.709961,2300433300
2010-10-01,1087.449951,1119.189941,1061.979980,1089.319946,1089.319946,2256655800
2010-11-01,1094.619995,1121.380005,1078.270020,1107.050049,1107.050049,2005200700
2010-12-01,1112.670044,1169.459961,1111.770020,1155.569946,1155.569946,1797299200
2011-01-01,1161.579956,1182.560059,1136.420044,1147.219971,1147.219971,2049281400
2011-02-01,1150.540039,1156.199951,1085.060059,1128.660034,1128.660034,2484337100
2011-03-01,1131.050049,1140.859985,1045.579956,1134.869995,1134.869995,2560136700
2011-04-01,1136.869995,1163.060059,1105.010010,1162.839966,1162.839966,1925222000
2011-05-01,1167.099976,1175.079956,1126.050049,1151.359985,1151.359985,2272587800
2011-06-01,1154.089966,1161.489990,1048.469971,1115.229980,1115.229980,2110923900
2011-07-01,1117.349976,1142.109985,1052.069946,1065.969971,1065.969971,2054306600
2011-08-01,1081.160034,1087.180054,851.140015,954.630005,954.630005,3934282000
2011-09-01,956.840027,966.080017,833.030029,910.169983,910.169983,2826707800
2011-10-01,892.429993,1037.430054,855.739990,990.440002,990.440002,2736666600
2011-11-01,963.640015,993.469971,872.929993,979.359985,979.359985,2432082200
2011-12-01,978.469971,992.030029,927.469971,987.849976,987.849976,2007824400
2012-01-01,986.013000,1051.410034,980.945007,1036.339966,1036.339966,2209226700
2012-02-01,1034.709961,1113.449951,1034.709961,1101.760010,1101.760010,2233092600
2012-03-01,1098.050049,1127.540039,1054.459961,1074.479980,1074.479980,2286429200
2012-04-01,1075.290039,1088.839966,1004.570007,1059.619995,1059.619995,2269311800
2012-05-01,1059.619995,1071.420044,955.010010,975.978027,975.978027,2032905000
2012-06-01,980.049988,1019.059998,941.109985,1019.059998,1019.059998,1906038400
2012-07-01,1020.590027,1071.410034,1009.320007,1068.160034,1068.160034,1866643000
2012-08-01,1067.689941,1093.739990,1033.020020,1043.930054,1043.930054,1762215600
2012-09-01,1040.420044,1119.189941,1028.930054,1072.449951,1072.449951,1946141900
2012-10-01,1069.729980,1098.719971,1034.550049,1052.109985,1052.109985,2012760400
2012-11-01,1050.030029,1090.939941,1026.469971,1085.849976,1085.849976,1776811300
2012-12-01,1089.160034,1114.050049,1085.160034,1104.729980,1104.729980,1429585000
2013-01-01,1122.459961,1182.119995,1116.619995,1169.170044,1169.170044,2151781800
2013-02-01,1167.719971,1212.319946,1156.819946,1199.400024,1199.400024,1974011100
2013-03-01,1199.939941,1222.800049,1179.750000,1201.189941,1201.189941,1842348200
2013-04-01,1201.189941,1211.250000,1140.689941,1198.989990,1198.989990,2287515100
2013-05-01,1198.989990,1257.560059,1186.790039,1214.770020,1214.770020,1865703200
2013-06-01,1207.630005,1222.660034,1108.959961,1151.000000,1151.000000,1952096700
2013-07-01,1158.310059,1242.050049,1141.900024,1234.069946,1234.069946,1825101400
2013-08-01,1240.660034,1265.880005,1206.119995,1214.349976,1214.349976,1436775600
2013-09-01,1222.109985,1291.880005,1220.979980,1259.599976,1259.599976,1980692500
