,Market,Average Return,Risk free rate,Market risk premium
0,Nasdaq,0.13120289131393367,0.006,0.12520289131393367
1,NYSE,0.10740542118472923,0.006,0.10140542118472923
2,CO,0.1088002299620921,-0.0019,0.1107002299620921
3,HE,0.10683164029498864,-0.0004,0.10723164029498863
4,ST,0.10792026733600525,-0.0007,0.10862026733600526
