,Unnamed: 0,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North,Beta,Dividend yield,P/E
77,77, SAP SE ,69,1.0,1.0,Germany,na,SAP,na,0.9641329999999999,1.45,28.14448
79,79, Seagate Technology PLC ,32,0.0,1.0,Ireland,STX,na,na,1.246889,5.85,7.167281
80,80, SK Telecom Co Ltd ,84,0.0,1.0,South Korea,na,SKM,na,0.250891,4.17,4.210853
81,81, Skanska AB ,38,1.0,1.0,Sweden,na,na,SKA-B.ST,0.795136,4.11,11.757866
83,83, Stora Enso OYJ ,37,0.0,1.0,Finland,na,na,STERV.HE,1.330091,3.64,10.059171
84,84, Swedish Match AB ,32,0.0,1.0,Sweden,na,na,SWMA.ST,0.184194,2.55,26.913633
86,86, Target Corp ,41,0.0,1.0,United States of America (USA),na,TGT,na,0.649639,3.19,16.944838
87,87, Tele2 AB ,38,0.0,1.0,Sweden,na,na,TEL2-B.ST,0.603039,4.84,17.024378
88,88, Thomson Reuters Corp ,26,0.0,1.0,Canada,na,TRI,na,0.408637,3.0,22.802446
89,89, Unilever NV ,90,0.0,1.0,United Kingdom (UK),na,UL,na,0.44620000000000004,3.05,20.411556
90,90, Union Pacific Corp ,28,0.0,1.0,United States of America (USA),na,UNP,na,1.075311,2.19,18.141562
91,91, UPM-Kymmene OYJ ,89,0.0,1.0,Finland,na,na,UPM.HE,1.075987,4.23,13.513514
92,92, Valmet OYJ ,82,0.0,1.0,Finland,na,na,VALMT.HE,0.8297869999999999,2.87,14.658921
93,93, Westpac Banking Corp ,83,0.0,1.0,Australia,na,WBK,na,0.854711,6.46,5.7965903
94,94, Whirlpool Corp ,57,0.0,1.0,United States of America (USA),na,WHR,na,1.88867,2.74,5.6682925
95,95, Wipro Ltd ,80,0.0,1.0,India,na,WIT,na,0.307173,0.68,11.902835
