Date,Open,High,Low,Close,Adj Close,Volume
1991-08-01,109.300003,110.180000,103.500000,107.889999,107.889999,0
1991-09-01,107.379997,107.379997,103.400002,104.599998,104.599998,0
1991-10-01,105.269997,106.230003,102.449997,105.589996,105.589996,0
1991-11-01,105.970001,106.449997,101.510002,101.839996,101.839996,0
1991-12-01,100.889999,101.580002,99.860001,100.970001,100.970001,0
1992-01-01,100.970001,105.930000,100.970001,104.660004,104.660004,0
1992-02-01,104.650002,104.750000,99.330002,99.330002,99.330002,0
1992-03-01,97.820000,98.699997,93.080002,93.080002,93.080002,0
1992-04-01,92.419998,96.320000,92.070000,93.610001,93.610001,0
1992-05-01,94.110001,100.620003,94.110001,100.620003,100.620003,0
1992-06-01,100.040001,100.180000,88.050003,90.470001,90.470001,0
1992-07-01,89.849998,90.400002,85.250000,86.370003,86.370003,0
1992-08-01,84.919998,84.919998,75.769997,76.739998,76.739998,0
1992-09-01,74.879997,76.550003,72.769997,73.610001,73.610001,0
1992-10-01,74.440002,75.160004,70.589996,71.720001,71.720001,0
1992-11-01,71.610001,79.470001,71.610001,74.750000,74.750000,0
1992-12-01,75.430000,79.699997,74.779999,74.779999,74.779999,0
1993-01-01,75.269997,84.220001,75.169998,84.220001,84.220001,0
1993-02-01,83.589996,86.169998,82.080002,82.169998,82.169998,0
1993-03-01,81.480003,83.389999,78.779999,80.930000,80.930000,0
1993-04-01,80.599998,84.160004,80.599998,83.680000,83.680000,0
1993-05-01,84.769997,88.070000,84.769997,85.000000,85.000000,0
1993-06-01,83.870003,91.489998,83.260002,91.489998,91.489998,0
1993-07-01,91.279999,91.870003,89.099998,91.870003,91.870003,0
1993-08-01,95.650002,100.730003,93.360001,97.879997,97.879997,0
1993-09-01,98.559998,99.040001,96.050003,97.500000,97.500000,0
1993-10-01,97.339996,103.650002,97.029999,103.650002,103.650002,0
1993-11-01,103.330002,104.489998,99.410004,100.480003,100.480003,0
1993-12-01,100.610001,108.190002,100.080002,106.800003,106.800003,0
1994-01-01,109.190002,116.160004,109.059998,115.930000,115.930000,0
1994-02-01,117.379997,118.120003,113.070000,113.309998,113.309998,0
1994-03-01,112.040001,113.599998,107.940002,109.580002,109.580002,0
1994-04-01,109.580002,109.860001,104.510002,109.860001,109.860001,0
1994-05-01,108.650002,108.650002,99.660004,100.949997,100.949997,0
1994-06-01,100.029999,105.040001,99.300003,102.879997,102.879997,0
1994-07-01,102.389999,108.330002,100.900002,107.199997,107.199997,0
1994-08-01,107.620003,107.699997,96.680000,96.680000,96.680000,0
1994-09-01,96.790001,97.910004,95.129997,95.269997,95.269997,0
1994-10-01,94.940002,96.199997,91.570000,94.669998,94.669998,0
1994-11-01,93.470001,96.580002,91.570000,94.690002,94.690002,0
1994-12-01,94.800003,95.839996,91.339996,95.639999,95.639999,0
